HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
32349," ",06 45 09.25,-16 42 47.3,-1.44,2,G,101.28854105,-16.71314306,+,379.21,-546.01,-1223.08,1.21,1.04,1.58,1.33,1.24,0.05,0.22,-0.3,-0.5,0.13,-0.31,0.12,-0.54,0.32,-0.05,0,,,,,," ",0.009,0.007,G,-0.02,0.0,A," ",-1.0876,0.0024,0.04,159," ",-1.17,-0.98,,U," "," ",06451-1643,I,1,1,O," "," ","  ",,,,,,S," ",X,48915,"B-16 1591 ","          ","          ",-0.02,A0m...,4
30438," ",06 23 57.09,-52 41 44.6,-0.62,2,H,95.98787763,-52.69571799," ",10.43,19.99,23.67,0.5,0.46,0.53,0.53,0.56,0.02,0.11,-0.14,-0.23,-0.07,0.15,-0.06,0.19,-0.25,-0.04,1,3.15,-0.417,0.019,-0.608,0.016," ",0.164,0.017,G,0.23,0.02,A," ",-0.5536,0.0066,0.039,87," ",-0.6,-0.48,,U," "," ","          "," ",,1," "," ",S,"  ",,,,,,S," "," ",45348,"          ","          ",P-52   914,0.23,F0Ib,X
69673,H,14 15 40.35,+19 11 14.2,-0.05,1,G,213.91811403,19.18726997,*,88.85,-1093.45,-1999.4,0.92,0.42,0.74,0.6,0.52,-0.52,0.16,-0.13,-0.07,0.05,-0.01,0.03,-0.12,-0.03,-0.31,7,2.01,1.629,0.01,0.286,0.009,*,1.239,0.006,G,1.22,0.02,A,*,0.1114,0.002,0.015,70,*,0.09,0.14,,U,2," ",14157+1911,H,1,2,C," ",A,AB,198,0.255,0.039,3.33,0.31,S," "," ",124897,"B+19 2777 ","          ","          ",1.22,K2IIIp,X
71683," ",14 39 40.90,-60 50 06.5,-0.01,,G,219.92041034,-60.83514707,A,742.12,-3678.19,481.84,1.42,1.08,1.4,1.51,1.24,0.29,-0.31,-0.16,0.15,0.05,-0.09,0.0,0.14,0.09,0.45,1,-3.09,,,,," ",0.71,0.04,G,0.69,0.02,A," ",0.1373,0.0472,0.063,105,A,0.06,0.26,,D," "," ",14396-6050,I,3,1,C,P,D,"  ",,,,,,S," ",D,128620,"          ","          ",P-60  5483,0.69,G2V,X
91262," ",18 36 56.19,+38 46 58.8,0.03,1,G,279.23410832,38.78299311," ",128.93,201.02,287.46,0.48,0.47,0.55,0.57,0.6,-0.02,-0.08,-0.12,0.3,0.02,-0.13,0.01,0.28,-0.05,-0.15,2,1.31,,,,," ",-0.001,0.005,G,-0.01,0.02,A," ",0.0868,0.0021,0.014,90," ",0.07,0.13,,U,2,C,18369+3847,I,1,1," "," ",S,"  ",,,,,,S," "," ",172167,"B+38 3238 ","          ","          ",-0.01,A0Vvar,X
24608," ",05 16 41.30,+45 59 56.5,0.08,1,G,79.17206517,45.99902927,+,77.29,75.52,-427.13,0.8,0.51,0.89,0.77,0.5,0.27,0.51,0.13,0.06,-0.01,0.01,-0.07,0.03,-0.12,0.16,2,3.79,,,,," ",0.795,0.019,G,0.83,0.01,R," ",0.2385,0.0023,0.011,52," ",0.22,0.25,,U,2," ",05168+4559,I,1,1,O," "," ","  ",,,,,,S," ",P,34029,"B+45 1077 ","          ","          ",0.83,M1: comp,G
24436," ",05 14 32.27,-08 12 05.9,0.18,1,G,78.63446353,-8.20163919," ",4.22,1.87,-0.56,0.65,0.48,0.81,0.74,0.53,-0.18,0.27,0.18,0.32,-0.23,-0.13,-0.24,0.27,-0.14,-0.3,0,2.48,0.312,0.012,0.283,0.01," ",-0.03,0.6,G,0.03,0.02,A," ",0.193,0.0015,0.014,64," ",0.17,0.22,2.07,P,1,A,05145-0812,I,1,1," "," ",S,"  ",,,,,,S," "," ",34085,"B-08 1063 ","          ","          ",0.03,B8Ia,X
37279," ",07 39 18.54,+05 13 39.0,0.4,,G,114.82724194,5.22750767,+,285.93,-716.57,-1034.58,0.82,0.5,0.88,0.88,0.38,0.03,0.21,-0.3,-0.19,-0.06,-0.22,-0.07,-0.55,0.14,0.09,0,1.94,,,,," ",0.432,0.015,G,0.49,0.02,A," ",0.4607,0.0017,0.007,20," ",0.45,0.52,," "," "," ",07393+0514,I,1,1,O," "," ","  ",,,,,,S," ",D,61421,"B+05 1739 ","          ","          ",0.49,F5IV-V,X
27989," ",05 55 10.29,+07 24 25.3,0.45,2,H,88.79287161,7.40703634," ",7.63,27.33,10.86,1.51,1.13,1.64,2.3,1.46,0.08,0.19,-0.26,-0.21,-0.27,0.11,-0.15,-0.5,0.21,0.28,0,,2.849,0.009,0.769,0.019," ",1.5,0.51,G,2.32,0.02,A," ",0.4997,0.0234,0.109,57," ",0.33,0.62,,U,2,C,05552+0724,I,1,1,X," ",S,"  ",,,,,,S," ",P,39801,"B+07 1055 ","          ","          ",2.32,M2Ib,X
7588," ",01 37 42.75,-57 14 12.0,0.45,2,G,24.42813204,-57.23666007," ",22.68,88.02,-40.08,0.48,0.47,0.57,0.62,0.54,-0.12,-0.1,-0.14,-0.2,0.16,-0.01,0.22,-0.05,-0.2,-0.2,1,-0.37,0.458,0.01,0.522,0.009," ",-0.158,0.007,G,-0.17,0.02,A," ",0.4233,0.0024,0.022,106," ",0.4,0.46,,U,2," ","          "," ",,1,G," "," ","  ",,,,,,S," ",P,10144,"          ","          ",P-57   334,-0.17,B3Vp,X
